d,b,t,r_out,n_r,area,ixx,iyy,ixy,g_eff,section_type,valid
87.35407082373098,262.1318657612991,19.635238502380822,11.756161735490505,4,12044.101733217574,2453045632524.2803,16898552315291.312,-0.025390625,76923.07692307697,rectangular_hollow_section,True
106.25232204198133,204.8006704600106,9.233246140439102,18.37092560553971,4,5149.052626224961,1861809836822.6772,5236134704979.293,-0.0029296875,76923.07692307692,rectangular_hollow_section,True
134.34283492497573,278.9372190648723,15.856504032736941,17.36425992931839,4,11801.394609869547,6579346987073.547,21651160958526.664,0.0,76923.07692307688,rectangular_hollow_section,True
38.22969035647322,168.01110519403068,5.881580543620922,11.835323993794622,4,2183.0439090895125,101617135395.61746,1196322704575.2188,-0.0008544921875,76923.07692307695,rectangular_hollow_section,True
59.77879984136238,162.49205480012245,7.114263514485039,19.896143950976555,4,2727.6558049792975,306816129463.08344,1501909708814.9932,0.003662109375,76923.0769230768,rectangular_hollow_section,True
264.751872846226,25.92284471562378,13.62290227679934,10.762303756621446,4,6433.083516187041,7332158702737.4375,74261038350.90048,0.01318359375,76923.07692307678,rectangular_hollow_section,True
224.23581777381202,64.8390915466708,14.482072547243078,13.123039391435594,4,7361.671752810264,7323423469806.598,838805362228.8215,0.0,76923.07692307675,rectangular_hollow_section,True
50.21703467995907,162.31874429184447,2.431765312897469,17.612249453259217,4,930.2761078902871,87102755159.19377,521144000529.6416,-0.001708984375,76923.07692307678,rectangular_hollow_section,True
226.44188900531404,84.14489826547077,14.03765900881194,8.978266234782927,4,7850.990078326087,8790397257422.719,1640005258258.1025,-0.013671875,76923.07692307649,rectangular_hollow_section,True
48.44750717221177,103.87219784932145,14.21822368457005,11.700913725617239,4,3385.888354135545,174114399243.5813,695635150009.5449,-0.0003662109375,76923.07692307682,rectangular_hollow_section,True
135.6457479837481,194.04376984363518,11.45889402402792,14.393761855725764,4,6831.9625510483265,3819674312402.873,6752392707792.922,0.0,76923.07692307657,rectangular_hollow_section,True
120.64884851527484,54.97732000749474,13.74126407984639,18.495573578325622,4,3751.8789847737494,1033754033690.6323,265405884306.75806,-0.00439453125,76923.07692307701,rectangular_hollow_section,True
123.18791595463243,143.78663363044797,5.7955465259670635,12.64469747581337,4,2847.1959030791672,1335630344763.6904,1693882873571.7495,-0.0048828125,76923.07692307704,rectangular_hollow_section,True
99.74125832979699,128.07107370943552,4.738032807450526,19.020655294296734,4,1911.1767640269593,586224173808.8032,853656964992.031,-0.001220703125,76923.07692307702,rectangular_hollow_section,True
202.8099571165806,272.2742848283791,8.648567548049442,15.307119962975504,4,7728.433831118274,10349751814498.473,16291904604661.05,0.08203125,76923.0769230766,rectangular_hollow_section,True
260.28925203953577,64.4699013688905,10.361715984163643,18.705696808448526,4,6020.3825121118225,8012267119148.59,779013401158.5615,0.001953125,76923.07692307676,rectangular_hollow_section,True
49.58060164164381,271.5281704010996,14.708958910722094,11.158252668538346,4,8456.430976134057,506225600366.8424,11332659684197.102,-0.0087890625,76923.07692307694,rectangular_hollow_section,True
165.96344962875034,104.97869896741886,5.278755747117865,10.568270671388479,4,2665.3044222764684,1979895610452.8608,975815422180.741,0.0078125,76923.07692307727,rectangular_hollow_section,True
198.9094266465451,178.57397915316847,11.915303928071232,11.07806687181634,4,8305.037579404252,9351778162464.217,7881662918832.99,0.0625,76923.07692307697,rectangular_hollow_section,True
125.48978653069095,25.644105000282128,11.776479601084906,12.35658634041616,4,2852.5597919559746,698720722060.3062,32107520421.071365,-0.00018310546875,76923.07692307682,rectangular_hollow_section,True
254.59364507367135,282.34556614938526,4.1069999433468345,11.817279575923932,4,4262.749141445806,9066332242454.213,10598620805314.176,-0.12109375,76923.07692307838,rectangular_hollow_section,True
