section_type,valid,d,b,t_f,t_w,r,n_r,A,ksx,ksy,Ixx,Iyy,Ixy,elastic_modulus,poissons_ratio,yield_strength
i_section,True,222.1740189623933,248.27212385819004,22.358318242232198,20.221024441464433,7.005147267538091,8,14733.678796467912,0.6520476751638702,0.25881675804766363,121023429.33137152,57154147.40585107,-3.4914569628230124e-07,100692.20492861085,0.44387652123401977,470.04812502034855
i_section,True,367.09366788937814,284.82059298606055,23.06600209142814,15.849211055680478,19.62044567188253,8,18566.912384210023,0.6237865731288806,0.2947169731309614,441324655.5028878,88988681.53663057,-2.207652244630941e-06,95548.33670611151,0.4125465696356992,574.3215074990238
i_section,True,299.77322093352575,235.9560912293245,22.860117680809488,19.814393343556997,12.091696204983585,8,15951.226030590879,0.5949183730599231,0.3368733962614207,236351191.39613652,50238059.27881751,-4.0087746664010295e-07,97442.49365622055,0.4059060402715252,572.5088820689477
i_section,True,300.6278134386629,140.058835834825,14.121179297608009,13.98300011036114,17.24769666533254,8,8027.543016884239,0.46953593552552947,0.49806806696960726,109396673.8717919,6562587.302859128,-4.002082052226432e-08,146408.1676371508,0.5029188458835159,471.54827620521667
i_section,True,177.5974138511629,240.3396839580473,8.612320139836083,19.75518117484913,9.091174210624994,8,7381.078337953244,0.5161988026594916,0.36180247769950225,36816104.6841123,20040857.111367676,4.9557736967351034e-08,157644.40586031857,0.571523307514416,521.7829122251682
i_section,True,130.70913131845356,233.5311452173376,20.67425545266468,24.2039781956896,9.674954195466864,8,11901.860373276419,0.7213887930021307,0.19684343458431333,31161361.621600322,44007516.06609424,-1.4653724469786433e-07,133285.2275219875,0.48388299849672495,560.5774244496263
i_section,True,109.57033596632004,245.6923569205375,12.66925332699333,18.06950727557596,9.144717523854492,8,7821.489449430994,0.705608873616052,0.1701280429448762,15716011.36753014,31367393.551954623,1.2015727387572647e-07,162547.37953026744,0.5709466509766392,535.7502961827004
i_section,True,264.95452314172,287.83722782026416,19.81189948496167,22.28314832351994,14.413215697753547,8,16610.072112338577,0.6115344304411494,0.3055718773382139,195167226.28939268,78991107.00609773,5.7151779495049e-07,123027.66531721222,0.3422634151266804,517.264280875947
i_section,True,352.5774699378766,121.93648083971607,26.35066567597993,9.429743050089655,16.78412959758836,8,9503.197953572397,0.523561380205906,0.3452170379984875,197862066.52126232,8004087.56393095,-3.208447092185727e-07,164361.05531687342,0.70333686887425,296.14272437227197
i_section,True,198.53832048142084,244.27374440153648,13.98453215302711,21.127134404138673,9.189143460398013,8,10510.45263490669,0.5827047841380149,0.3222069249254087,67541184.14898513,34118706.810523994,1.0543018905674469e-07,148202.33312481592,0.6296021846785175,403.7244496699772
i_section,True,250.8237820139181,124.21349830718188,20.890497877834054,8.119796579512405,18.136881909303355,8,7178.169779853427,0.613683218669404,0.285320048818187,77901489.49352407,6705155.481464714,2.2166350071778875e-07,145385.0651805292,0.99,276.0959843766308
i_section,True,133.5572160237217,135.77153420158805,29.428448674237863,14.802884261264374,16.279571035099075,8,9331.340374120362,0.7569000570433235,0.21615397207998074,23020117.26521096,12327028.537172545,-9.955781806805223e-08,127516.98205481147,0.8697060226684943,273.7975542947255
i_section,True,123.19012457677687,138.1316804792896,19.65642984022422,28.799865742522478,17.65753701946766,8,8121.846885432619,0.6926831669121083,0.3782855332129395,16543265.474090295,8898185.937680855,6.067100349491066e-08,144864.3007979465,0.99,302.1417792415038
i_section,True,370.0603150081816,131.6572951025148,17.519521762544326,25.879582401347008,7.769802523625822,8,13336.76590279319,0.3271860149975763,0.6567049813785166,226016353.43414935,7159134.496321617,-4.1469837646203335e-07,160131.44436816877,0.6340762075786391,312.95172202893536
i_section,True,364.0578482814549,228.28830051238793,25.62972449652171,27.622245346449894,17.60767540556508,8,20616.412519084864,0.5248927006170081,0.4462512533260174,412528138.62089396,51460682.6524739,1.8796898602139635e-06,99750.49819051374,0.4103034398304277,491.1238054597375
i_section,True,369.1241138365276,69.86663884944464,20.23703718262189,12.772604513085245,11.221268332460282,8,7136.9040344303885,0.16487223309685645,0.622067853514255,126846731.96465318,1216780.8673833315,-9.76190673769887e-08,150057.13426281934,0.792045545112257,268.40035375828904
i_section,True,196.0417328837803,184.1954999863633,11.024161939109506,19.81112459020738,11.616493978316367,8,7627.592090969728,0.50606802635238,0.4362286291989588,44342609.98376105,11614510.281448536,-7.311114847767889e-08,133572.31015159722,0.8188595211302296,304.05716800558434
i_section,True,274.78642687526366,214.7730207803066,29.34646006414004,18.3547315294404,17.131681852990887,8,16831.6506928972,0.6575277791279058,0.28067141025055753,209002097.86077565,48614168.30912796,-1.3854775659343286e-07,140971.2468843092,0.606736008960267,375.1516165937676
i_section,True,151.17862883958128,105.53163630400357,22.586498179135667,24.752396925806796,18.96562689307251,8,7709.298374289695,0.6393438570387193,0.4542107360594248,23125826.671744063,4651232.784666232,1.3344678772957617e-07,175631.80349829796,0.5968634193776048,242.32602458139695
i_section,True,149.30650316049133,52.662320283707274,16.932043400947038,27.617072919582654,9.48009600304952,8,5051.053591429897,0.42996777473124903,0.723230627342286,11641538.893167611,635324.5218540796,1.3358759921145622e-08,182756.95232275943,0.5400779079745301,245.18727547913824
i_section,True,178.97796511000345,245.35721415001046,29.989906476137243,14.873691337257451,16.728881601274217,8,16734.01167682534,0.761145087897622,0.1492720447502188,85629185.1063055,73894399.65800369,-3.4696148455157215e-07,135101.45098838062,0.99,275.8576336535297
