d,b,t,r_out,n_r,area,ixx,iyy,ixy,g_eff,section_type,valid
149.44403871219322,103.77111878075544,6.514735323982695,18.171302724363184,4,2935.1716776672965,1722308374124.995,984158172690.0508,-0.00537109375,76923.0769230768,rectangular_hollow_section,True
256.0042583653369,214.59722340737443,17.171486616378033,16.82527354298427,4,14699.324451553464,26419611204499.47,19926022102223.844,-0.0078125,76923.07692307707,rectangular_hollow_section,True
131.4967778011027,249.9460645117176,7.324992382115276,12.725765341105737,4,5240.7330197532465,3107419602119.1016,8450109252548.379,-0.0185546875,76923.076923077,rectangular_hollow_section,True
41.14167124883406,100.22653858767048,7.437991500560751,9.476942621859688,4,1796.0410963942086,84621493649.65308,378548453040.53577,6.103515625e-05,76923.07692307705,rectangular_hollow_section,True
94.38645485725958,103.49883104593046,13.028809667990842,12.353669147027052,4,4324.806785404065,978951620800.194,1142473603521.4658,-0.001953125,76923.07692307683,rectangular_hollow_section,True
118.45962649791096,228.04597488300436,11.16500675452204,13.758886672071014,4,7056.266507052946,3156839759612.423,9016697349481.422,0.005859375,76923.0769230768,rectangular_hollow_section,True
93.46763627260354,196.379153326071,10.79079282969671,13.294311364066113,4,5619.117368657563,1524763397862.1775,5089364281034.393,0.0009765625,76923.07692307665,rectangular_hollow_section,True
88.56973362596375,182.66926494128035,19.04502369961302,10.361002246622656,4,8773.304233515091,1767792415668.7778,6285620971087.258,0.0126953125,76923.0769230773,rectangular_hollow_section,True
169.57765883699562,181.7035000845615,8.55108185895563,19.60015486706616,4,5453.099830585604,4682080720194.841,5206616577427.588,0.03125,76923.0769230772,rectangular_hollow_section,True
252.0457450245285,112.4258232009286,17.235285348927924,12.990504706434894,4,11206.569503110211,16110502283919.623,4156237268174.2354,0.041015625,76923.07692307708,rectangular_hollow_section,True
181.44690266733355,175.09321831140335,10.777272599436785,19.03510943051365,4,6926.318212214811,6517086879249.021,6164689939025.623,-0.0234375,76923.07692307695,rectangular_hollow_section,True
38.69733076409446,175.935519912187,7.362325822507112,19.73187452699095,4,,,,,,rectangular_hollow_section,False
