0,1,2,3
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 132.97642755308186, 'b': 234.95733230453428, 't': 15.350505114691789, 'r_out': 16.389591236217797, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 10085.84709509729, 'ixx': 5356061662985.164, 'iyy': 13530600415099.41, 'ixy': 0.01953125, 'g_eff': 76923.07692307702})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 265.339965584306, 'b': 91.53563687947293, 't': 7.475188163186329, 'r_out': 18.45619523781147, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 4891.86217995088, 'ixx': 7704659507624.293, 'iyy': 1430836679153.893, 'ixy': 0.0166015625, 'g_eff': 76923.0769230766})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 20.59334575320117, 'b': 110.41209645590418, 't': 7.282455271477157, 'r_out': 15.533031714610575, 'n_r': 4})","('valid', False)","('stiffness_props', {'area': None, 'ixx': None, 'iyy': None, 'ixy': None, 'g_eff': None})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 141.6686415290149, 'b': 147.75298245233324, 't': 10.875617591800776, 'r_out': 18.265600208837597, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 5543.141270516947, 'ixx': 3122346992925.5547, 'iyy': 3336276993385.253, 'ixy': 0.0048828125, 'g_eff': 76923.07692307679})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 170.75901743263654, 'b': 221.14196504894204, 't': 16.077480317103685, 'r_out': 9.572092805141047, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 11475.994210144883, 'ixx': 9837983616788.838, 'iyy': 14970967521973.95, 'ixy': 0.0703125, 'g_eff': 76923.07692307708})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 146.90005665704857, 'b': 253.61983232374772, 't': 6.405801738300388, 'r_out': 13.965878248227527, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 4829.273820064205, 'ixx': 3580724742719.8857, 'iyy': 8300308773696.994, 'ixy': -0.01953125, 'g_eff': 76923.07692307691})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 159.5545823645156, 'b': 247.1162933604584, 't': 14.898293582854366, 'r_out': 8.993355645158818, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 11148.68714381025, 'ixx': 8718718066302.486, 'iyy': 17694755097729.09, 'ixy': -0.015625, 'g_eff': 76923.07692307697})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 163.98697552434993, 'b': 239.4400715257929, 't': 6.74975531613762, 'r_out': 18.679020367049162, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 5057.232486472375, 'ixx': 4494519835613.393, 'iyy': 8008264346375.717, 'ixy': -0.0234375, 'g_eff': 76923.07692307682})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 29.005091206983735, 'b': 154.7833443046369, 't': 9.785874123623028, 'r_out': 10.585873851096867, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 3102.5869355076793, 'ixx': 57762920085.56911, 'iyy': 1279045233605.9668, 'ixy': -0.0010986328125, 'g_eff': 76923.07692307697})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 297.96704859489734, 'b': 81.86574240123096, 't': 4.612247386359809, 'r_out': 13.706442615667397, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 3313.5121089315894, 'ixx': 6487723774431.537, 'iyy': 845991318983.2532, 'ixy': -0.0048828125, 'g_eff': 76923.07692307695})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 184.32553131753042, 'b': 279.74154160395693, 't': 16.478801304927327, 'r_out': 16.50870755785752, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 13935.798073028549, 'ixx': 14509692012166.094, 'iyy': 28328543131949.438, 'ixy': 0.0703125, 'g_eff': 76923.07692307679})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 162.51339782916295, 'b': 251.56875594444915, 't': 2.149380979496457, 'r_out': 12.714669557553464, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 1711.5237569394865, 'ixx': 1607510653128.127, 'iyy': 3096677429086.877, 'ixy': -0.0087890625, 'g_eff': 76923.07692307688})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 69.59399827978923, 'b': 198.0368434316683, 't': 17.64434248051164, 'r_out': 10.10235973957666, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 8096.991500422881, 'ixx': 981585478365.293, 'iyy': 6353575874426.16, 'ixy': -0.025390625, 'g_eff': 76923.07692307701})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 94.0325098984592, 'b': 179.5492249264032, 't': 6.1544866179404165, 'r_out': 18.409363605770793, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 3027.276771280648, 'ixx': 886409943554.6025, 'iyy': 2401764360159.755, 'ixy': 0.0078125, 'g_eff': 76923.07692307698})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 298.2845133737365, 'b': 247.96808700413771, 't': 17.04347849340156, 'r_out': 11.298329981672824, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 17330.515996015154, 'ixx': 43398440821360.08, 'iyy': 32342331514998.234, 'ixy': -0.0546875, 'g_eff': 76923.0769230774})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 274.21941518228095, 'b': 71.94040574795721, 't': 2.812953073889361, 'r_out': 16.25043070282232, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 1832.3011517024054, 'ixx': 2990881054697.8164, 'iyy': 373956155255.873, 'ixy': 0.008544921875, 'g_eff': 76923.07692307692})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 255.89229531370074, 'b': 166.9820524824706, 't': 4.111262055754833, 'r_out': 15.660098427204744, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 3297.6215569134624, 'ixx': 6068968192639.932, 'iyy': 3184356997717.8447, 'ixy': 0.0, 'g_eff': 76923.07692307755})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 176.39000395511212, 'b': 173.62315331031698, 't': 13.610099879856666, 'r_out': 19.400772733381658, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 8443.630693778634, 'ixx': 7292098641974.852, 'iyy': 7111348219357.104, 'ixy': -0.00390625, 'g_eff': 76923.07692307682})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 25.770965251995936, 'b': 276.7882486833128, 't': 11.349271016707863, 'r_out': 19.770609243002376, 'n_r': 4})","('valid', False)","('stiffness_props', {'area': None, 'ixx': None, 'iyy': None, 'ixy': None, 'g_eff': None})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 228.2352134075027, 'b': 122.11146748367884, 't': 12.715241453677267, 'r_out': 13.313217584633056, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 8085.891632147688, 'ixx': 10320486403517.02, 'iyy': 3753146777361.243, 'ixy': 0.0625, 'g_eff': 76923.07692307698})"
